Year,Month,Cbs district,Name,Residential Area Type,Total Population,Gender Ratio,Total jobseekers,Academic,Unemployed job seekers,Estimated unemployed rate in city
2010,1,הצפון,פקיעין (בוקייעה),מועצה מקומית,2374,1.052631579,156,7,154,0.0657
2010,1,הצפון,צפת,מועצה מקומית,11367,0.901923077,989,88,984,0.087
2010,1,הצפון,קצרין,מועצה מקומית,3725,0.756302521,209,43,208,0.0561
2010,1,הצפון,קריית שמונה,מועצה מקומית,12572,0.973557692,821,71,801,0.0653
2010,1,הצפון,ראמה,מועצה מקומית,3239,0.75,322,8,319,0.0994
2010,1,הצפון,ראש פינה,יישוב כפרי,1398,0.862068966,54,7,53,0.0386
2010,1,הצפון,ריינה,מועצה מקומית,5598,0.767123288,645,9,640,0.1152
2010,1,הצפון,רמת ישי,מועצה מקומית,3720,0.576271186,93,31,91,0.025
2010,1,הצפון,שבלי - אום אל-גנם,מועצה מקומית,2203,1,286,4,283,0.1298
2010,1,הצפון,שלומי,מועצה מקומית,3317,0.739393939,287,13,285,0.0865
2010,1,הצפון,שעב,מועצה מקומית,2504,0.715867159,465,6,464,0.1857
2010,1,הצפון,שפרעם,מועצה מקומית,14881,0.732417138,2143,26,2135,0.144
2010,1,חיפה,אום אל-פחם,מועצה מקומית,16745,0.720247295,3339,10,3335,0.1994
2010,1,חיפה,אור עקיבא,מועצה מקומית,9245,0.811320755,576,53,562,0.0623
2010,1,חיפה,בנימינה-גבעת עדה*,מועצה מקומית,6141,0.768518519,191,64,190,0.0311
2010,1,חיפה,"בסמ""ה",מועצה מקומית,3061,1.140625,274,5,274,0.0895
2010,1,חיפה,ג'סר א-זרקא,מועצה מקומית,4992,1.525925926,341,3,339,0.0683
2010,1,חיפה,דאלית אל-כרמל,מועצה מקומית,6782,0.740213523,489,8,487,0.0721
2010,1,חיפה,זכרון יעקב,מועצה מקומית,9000,0.648854962,216,62,216,0.024
2010,1,חיפה,חדרה,עיר,44108,0.725340136,2029,259,2006,0.046
2010,1,חיפה,חיפה,מטרופולין,131951,0.735030833,8722,1673,8678,0.0661
2010,1,חיפה,חריש-קציר,יישוב כפרי,1635,0.857142857,26,4,26,0.0159
2010,1,חיפה,טירת כרמל,מועצה מקומית,9616,0.784444444,803,25,800,0.0835
2010,1,חיפה,כפר קרע,מועצה מקומית,6769,0.965517241,285,8,284,0.0421
2010,1,חיפה,מעלה עירון,מועצה מקומית,4692,0.748908297,801,1,799,0.1707
2010,1,חיפה,נשר,מועצה מקומית,12248,0.794797688,621,140,619,0.0507
2010,1,חיפה,עספיא,מועצה מקומית,4754,0.670050761,329,7,328,0.0692
2010,1,חיפה,ערערה,מועצה מקומית,6500,0.953271028,418,5,418,0.0643
2010,1,חיפה,פוריידיס,מועצה מקומית,4662,0.988235294,338,4,337,0.0725
2010,1,חיפה,פרדס חנה-כרכור,מועצה מקומית,16750,0.801075269,670,108,665,0.04
2010,1,חיפה,קריית אתא,עיר,26878,0.647887324,1989,164,1981,0.074
2010,1,חיפה,קריית ביאליק,עיר,20091,0.642052566,1312,158,1304,0.0653
2010,1,חיפה,קריית טבעון,מועצה מקומית,7528,0.805555556,195,62,195,0.0259
2010,1,חיפה,קריית ים,עיר,20167,0.741877256,1930,191,1924,0.0957
2010,1,חיפה,קריית מוצקין,עיר,20959,0.623425693,1289,203,1281,0.0615
2010,1,חיפה,רכסים,מועצה מקומית,2739,1.121621622,157,11,155,0.0573
2010,1,ירושלים,אבו גוש,מועצה מקומית,2430,0.902097902,272,1,272,0.1119
2010,1,ירושלים,בית שמש,עיר,24923,0.73129771,1134,114,1118,0.0455
2010,1,ירושלים,ירושלים,מטרופולין,247632,0.77393439,7949,1128,7913,0.0321
2010,1,ירושלים,מבשרת ציון,מועצה מקומית,11679,0.854545455,306,65,305,0.0262
2010,1,ירושלים,קריית יערים,יישוב כפרי,989,0.461538462,19,3,19,0.0192
2010,1,תל אביב,אור יהודה,מועצה מקומית,17630,0.851598174,811,50,799,0.046
2010,1,תל אביב,אזור,מועצה מקומית,5849,1,148,20,148,0.0253
2010,1,תל אביב,בני ברק,עיר,46198,0.886243386,2139,128,2127,0.0463
2010,1,תל אביב,בת ים,עיר,71164,0.733007335,3544,581,3474,0.0498
2010,1,תל אביב,גבעתיים,עיר,27333,0.802197802,656,254,654,0.024
2010,1,תל אביב,הרצלייה,עיר,46527,0.767885533,1112,305,1085,0.0239
2010,1,תל אביב,חולון,עיר,93402,0.844929245,3129,504,3089,0.0335
2010,1,תל אביב,קריית אונו,מועצה מקומית,16215,0.792951542,407,167,406,0.0251
2010,1,תל אביב,רמת גן,עיר,71808,0.796805679,2025,610,2008,0.0282
2010,1,תל אביב,רמת השרון,עיר,20468,0.686695279,393,161,391,0.0192
2010,1,תל אביב,תל אביב -יפו,מטרופולין,231312,0.938711367,7402,1959,7339,0.032
2010,2,אזור יהודה והשומרון,אורנית,מועצה מקומית,3728,0.770833333,85,37,85,0.0228
2010,2,אזור יהודה והשומרון,אלפי מנשה,מועצה מקומית,4117,0.75,98,28,96,0.0238
2010,2,אזור יהודה והשומרון,אלקנה,יישוב כפרי,1698,1.454545455,27,9,27,0.0159
2010,2,אזור יהודה והשומרון,אפרתה,מועצה מקומית,3529,1.068965517,60,24,60,0.017
2010,2,אזור יהודה והשומרון,אריאל,מועצה מקומית,10000,0.87654321,456,124,455,0.0456
2010,2,אזור יהודה והשומרון,בית אל,מועצה מקומית,2119,0.916666667,46,19,46,0.0217
2010,2,אזור יהודה והשומרון,בית אריה,מועצה מקומית,2129,0.815789474,69,10,69,0.0324
2010,2,אזור יהודה והשומרון,ביתר עילית,מועצה מקומית,8446,0.912087912,348,14,343,0.0412
2010,2,אזור יהודה והשומרון,גבעת זאב,מועצה מקומית,6082,0.824742268,177,23,175,0.0291
2010,2,אזור יהודה והשומרון,הר אדר,יישוב כפרי,1718,0.736842105,33,21,33,0.0192
2010,2,אזור יהודה והשומרון,מודיעין עילית,מועצה מקומית,10383,0.594117647,271,16,270,0.0261
