סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
126       ,שריד                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1148      ,75        ,264       ,344       ,135       ,74        ,256
127       ,רמת רחל                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,550       ,61        ,105       ,203       ,60        ,56        ,65
128       ,גת רימון                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,280       ,30        ,49        ,96        ,29        ,22        ,54
130       ,משמר העמק                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1399      ,114       ,198       ,510       ,173       ,130       ,274
132       ,כפר ברוך                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,608       ,64        ,187       ,201       ,58        ,24        ,74
133       ,גבת                      ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1012      ,93        ,217       ,315       ,113       ,76        ,198
134       ,יפעת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1219      ,96        ,281       ,372       ,177       ,78        ,215
135       ,רמת דוד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,624       ,68        ,161       ,209       ,63        ,33        ,90
139       ,עין שמר                  ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,768       ,45        ,121       ,265       ,80        ,62        ,195
140       ,כפר יהושע                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1215      ,77        ,312       ,390       ,194       ,89        ,153
141       ,ברק                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,401       ,30        ,69        ,148       ,43        ,39        ,72
142       ,שדה יעקב                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1082      ,131       ,334       ,353       ,98        ,64        ,102
143       ,בית זרע                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,765       ,48        ,96        ,299       ,82        ,62        ,178
