employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
נגרייה ,,,בני ברק,הקישון 17,06/02/2024,תעשייה,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",11922023,4,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
גלריה רו ארט,,,תל אביב -יפו,המרץ 3,02/06/2024,מסחר,198850,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",905/2023,4,4,לא,לא,לא קיים,,,,,
גלריה רו ארט,,,תל אביב -יפו,המרץ 3,02/06/2024,מסחר,318160,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",905/2023,4,4,לא,לא,לא קיים,,,,,
"פיצוחי שאדי בע""מ ",514531532,,אעבלין,אעבלין 111,06/05/2024,מסחר,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",19/2024,100,4,לא,לא,תקנה 1(א)(2) - הפסיק את ההפרה בטרם פנה אליו מפקח עבודה- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"מאני פיי בע""מ",515968279,,תל אביב -יפו,קרליבך 7,01/04/2024,"שרותים מקצועיים, טכניים ואישיים",19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1008/2023,16,6,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"בית אליהו- אחיעזר ( ע"" ר)",580504447,,בני ברק,בר אילן 22,11/08/2024,חינוך,,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1449/2021,6,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
חנות למכירת צעצועים ,,,ירושלים,ההגנה 216,02/06/2024,מסחר,19885,יזום/מודיעין,"חוק עבודת הנוער, תשי""ג-1953. סעיף 2, העסקת ילד מתחת לגיל 15.",1101/2023,5,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"איי אם המסגר 68 תל אביב בע""מ ",515008340,,בת ים,העמל 7,23/06/2024,אולמות אירועים/שרותי קטרינג,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",396/2024,1,1,לא,לא,לא קיים,,,,,
"פיתוח בגן בע""מ ",513837088,,הרצלייה,טנא 6,31/03/2024,גינון ותחזוקה לבניינים,39770,יזום/מודיעין,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1458/2023,50,10,לא,לא,1(א)(2)+ 1(א)(3) - 50%,,,,,
"ח.ד השקעות בעיצוב בע""מ ",516594355,,הוד השרון,הפרדס 73,02/06/2024,מסחר,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",235/2024,5,1,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
" מילניום שירותי דלק ס.ש. בע""מ ",513867812,,אשקלון,הפנינים 2,16/06/2024,מסחר,79540,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",4/26/2024,50,1,לא,לא,לא קיים,,,,,
