employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
" ר. יפרח עבודות חשמל בע""מ",515788586,,אופקים,תרשיש 22,10/09/2023,"שרותים מקצועיים, טכניים ואישיים",19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1883/4/2022 ,6,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
"טרה - ספקטרום בע""מ      TERA - SPECTRUM LTD",515174001,,הרצלייה,שנקר אריה 18,12/08/2024,תעשייה,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",642/2/2023 ,37,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"טרה - ספקטרום בע""מ      TERA - SPECTRUM LTD",515174001,,הרצלייה,שנקר אריה 18,12/08/2024,תעשייה,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25ב(ב1)(1), מעסיק שלא שילם לעובד שכר עד ליום הקובע (הלנת שכר)",642/2/2023 ,37,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"מיטב ניקיון ואחזקה בע""מ",513709695,,תל אביב -יפו,בן יהודה 33,03/05/2016,קבלני שירותים (שמירה אבטחה וניקיון),23862,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",20917/3/2016,215,8,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%,,,,,
"אי. די. אר גולד בע""מ",512885807,,רמת גן,בצלאל 7,06/12/2017,מסחר,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",733/3/2017,10,4,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
מסגריה לעבודות מסגרות מיוחדות,,,חיפה,הגפן 413/11,23/01/2019,תעשייה,19885,יזום/מודיעין,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",714/2/2018,9,4,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"בני עלי סלאם 2000 בע""מ",512977208,,נצרת,רח' 1010,28/03/2022,תעשייה,31816,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",2438/2/2021,30,4,כן. הבקשה התקבלה חלקית,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"מילניום מרקטינג - אינטרטרייד (1999) בע""מ",512752023,,תל אביב -יפו,שארית ישראל 37,14/08/2022,מסחר,219360,יזום/מודיעין,"חוק שעות עבודה ומנוחה, תשמ""ז-1987. סעיף 9, העבדה אסורה במנוחה השבועית או בלא היתר",331/2/2022,162,10,כן. הבקשה נדחתה,לא,לא קיים,,,,,
"מילניום מרקטינג - אינטרטרייד (1999) בע""מ",512752023,,תל אביב -יפו,שארית ישראל 37,14/08/2022,מסחר,36560,יזום/מודיעין,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",331/2/2022,162,10,כן. הבקשה נדחתה,לא,לא קיים,,,,,
נאיא (נ.א) ניהול ואחזקות,540303418,,יבנאל,סמדר ,11/08/2024,שרותי בריאות וסיעוד,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1999/2/2022,86,8,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
סיפור של עוגה,,,גדעונה,גדעונה,04/06/2023,מסעדות,155440,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1274/2/2022,1,1,לא,לא,לא קיים,,,,,
"י.ק. שרותי תחבורה בע""מ",513576769,,בני ברק,שד' רבי טרפון 108,19/03/2024,היסעים והובלות,79540,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",870/2/2023,5,2,לא,לא,לא קיים,,,,,
מסעדת ארטו,,,חיפה,קדושי יאסי 2,23/07/2024,מסעדות,21876,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1023/2/2023,10,4,לא,לא,תקנה 1(א)(1) - לא הפר את אותה הוראה בחמש השנים שקדמו להפרה - 25%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
מסעדת ארטו,,,חיפה,קדושי יאסי 2,23/07/2024,מסעדות,,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1023/2/2023,10,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"וייסטק סולושינס בע""מ",516403805,,חיפה,העמלים 2,11/08/2024,"שרותים מקצועיים, טכניים ואישיים",19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",256/2/2024,6,1,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"ש.א.ש צפון והעמקים - אבטחה ושמירה בע""מ",512019779,,עפולה,יצחק נבון 3,08/05/2024,קבלני שירותים (שמירה אבטחה וניקיון),1193100,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1339/2/2023,300,11,כן. טרם התקבלה החלטה,לא,לא קיים,,,,,
מאפיית המשפחה,,,חיפה,ואדי סליב 10,03/06/2024,מסחר,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",355/2/2024,1,1,לא,לא,לא קיים,,,,,
"ב. מוזס מכירה ושירות מוצרי חשמל ביתיים בע""מ",516167871,,קריית אתא,זבולון 14,16/06/2024,"תקשורת, הנדסה ומחשוב",318160,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",74/2/2024,40,4,לא,לא,לא קיים,,,,,
"ב. מוזס מכירה ושירות מוצרי חשמל ביתיים בע""מ",516167871,,קריית אתא,זבולון 14,16/06/2024,"תקשורת, הנדסה ומחשוב",636320,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",74/2/2024,40,4,לא,לא,לא קיים,,,,,
"ב. מוזס מכירה ושירות מוצרי חשמל ביתיים בע""מ",516167871,,קריית אתא,זבולון 14,16/06/2024,"תקשורת, הנדסה ומחשוב",795400,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",74/2/2024,40,4,לא,לא,לא קיים,,,,,
"סופר אפטר בע""מ",515045524,,תל אביב -יפו,אפטר יעקב 9,26/08/2024,מסחר,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1535/2/2023,3,3,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"מוסדות צדקה וחסד צפת ע""ש מרן החפץ חיים זיע""א (ע""ר)",580243442,,צפת,חטיבת יפתח 3,09/07/2024,חינוך,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",506/2/2023,30,4,כן. טרם התקבלה החלטה,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"ק. אקספרס בע""מ",515916294,,נשר,התעשייה 28,08/04/2024,משלוחים,119310,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",647/2/2023,76,9,לא,לא,לא קיים,,,,,
"משקאות מצוירים בע""מ",515058725,,חיפה,שד' הנשיא 134,05/05/2024,מסעדות,79540,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",738/2/2023,73,5,לא,לא,לא קיים,,,,,
"משקאות מצוירים בע""מ",515058725,,חיפה,שד' הנשיא 134,05/05/2024,מסעדות,79540,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",738/2/2023,73,5,לא,לא,לא קיים,,,,,
"משקאות מצוירים בע""מ",515058725,,חיפה,שד' הנשיא 134,05/05/2024,מסעדות,318160,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",738/2/2023,73,5,לא,לא,לא קיים,,,,,
מזנון הדודה שמחה,,,חיפה,חוף נאות  קרית חיים,13/08/2024,מסעדות,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1335/2/2023,4,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"אילן בדני עבודות עפר ופתוח בע""מ",511689408,,הוד השרון,העליות 19,09/06/2024,בניין,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1021/2/2023,60,6,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
א.ד.י עיבוד שבבי,,,קריית אתא,התעשייה 28,17/06/2024,תעשייה,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",331/2/2024,1,1,לא,לא,לא קיים,,,,,
"וויפי שירותי אינטרנט בע""מ",515615110,,כאבול,כאבול 1,23/06/2024,"תקשורת, הנדסה ומחשוב",79540,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",345/2/2024,13,1,לא,לא,לא קיים,,,,,
"דובדבן ליווי טיולים בע""מ ",513209593,,נוף הגליל,העמל 1,26/08/2024,קבלני שירותים (שמירה אבטחה וניקיון),31816,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",1159/2/2023,260,1,לא,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
ביאונט,,,נשר,דרך בר יהודה 50,26/06/2024,"תקשורת, הנדסה ומחשוב",119310,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",100/2/2024,1,1,לא,לא,לא קיים,,,,,
דו רה מי,,,ראשון לציון,דוד רמז 33,07/07/2024,חינוך,19880,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",765/2/2023,82,8,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"לונה אבטחה בע""מ",513716852,,חיפה,סמטת עתלית 5 ,16/07/2024,קבלני שירותים (שמירה אבטחה וניקיון),19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",849/2/2023,20,10,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"מרדכי זיבאי בע""מ",513397992,,רחובות,יצחק מודעי 2 ,02/05/2024,גינון ותחזוקה לבניינים,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",433/4/2023 ,200,10,לא,לא,1(א)(1)+ 1(א)(2) - 50%,,,,,
"מודעות גמילה מסמים וגרייה מגנטית בע""מ",515008134,,רחובות,הנציב הראשון 34,19/02/2024,שרותי בריאות וסיעוד,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",122/4/2023 ,4,3,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"ענבי הנגב המערבי בע""מ",512393968,,רהט,טורקיה 147,07/05/2024,חקלאות,23862,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",786/4/2023 ,40,4,לא,לא,לא קיים,,,,,
